AU,TI,PY,AB,DE,TC
Brown J; Wilson S,Data driven approaches to improve university retention,2022,Data driven approaches support retention policies through analysis of student behavior and academic records.,data driven; retention; policies,100
Mendoza R; Castillo A,Artificial intelligence adoption in higher education,2024,This research examines the opportunities and challenges associated with AI implementation in universities.,AI adoption; higher education; challenges,75
Keller J; Evans R,Machine learning models for educational forecasting,2019,Machine learning models are applied to forecast educational outcomes and support institutional planning.,forecasting; machine learning; education,220
Davis R; Miller P,Artificial intelligence for improving student retention,2023,Artificial intelligence tools are used to analyze academic information and improve institutional strategies for student retention.,AI; retention; higher education,70
Ali S; Rahman T,Machine learning based academic risk prediction,2020,The study develops predictive models to identify academic risk factors using historical student information.,machine learning; academic risk; prediction,180
Kwon H; Lee J,Deep learning approaches for educational prediction,2024,Deep learning architectures are investigated for predicting educational outcomes from complex student datasets.,deep learning; prediction; education,50
Martínez J; Romero P,Learning analytics applications in universities,2018,Learning analytics applications allow universities to monitor student activities and improve educational interventions.,learning analytics; universities; intervention,400
Thomas R; Williams K,Predictive systems for university dropout prevention,2021,Predictive systems are designed to detect dropout risk and support timely institutional responses.,predictive systems; dropout prevention,140
Park Y; Kim D,Artificial intelligence and personalized learning environments,2022,AI techniques enable personalized learning environments by adapting educational processes to student needs.,AI; personalized learning; education,120
Singh A; Kumar P,Educational data mining approaches for student classification,2019,Educational data mining methods are used to classify students according to academic characteristics and risk levels.,EDM; classification; students,230
Lopez G; Herrera M,Machine learning applications in academic advising,2023,Machine learning techniques support academic advising by identifying patterns in student progress.,machine learning; academic advising,65
Chen J; Zhou W,Data science methods for student success prediction,2025,Data science methods provide predictive insights that help universities improve student success initiatives.,data science; student success,25
Foster R; Hill S,Early detection of academic failure using AI,2020,AI based models are applied for early detection of academic failure and targeted support.,AI; academic failure; early detection,150
Gutiérrez L; Moreno A,Predictive analytics and university management,2022,Predictive analytics supports university management by transforming educational data into strategic information.,predictive analytics; management; universities,90
Wilson P; Carter J,Transformer architectures for educational text mining,2024,Transformer architectures improve educational text mining through contextual analysis of large document collections.,transformers; text mining; NLP,45
Ahmed R; Khan M,Sentiment analysis of educational research documents,2021,Sentiment analysis techniques are applied to classify opinions and trends in educational research literature.,sentiment analysis; NLP; education,130
Garcia J; Torres P,Natural language processing for scientific mapping,2023,NLP methods support scientific mapping by extracting concepts and relationships from academic texts.,NLP; bibliometrics; scientific mapping,80
Morris A; Clark D,Artificial intelligence ethics in educational systems,2025,The study analyzes ethical considerations related to artificial intelligence adoption in education.,AI ethics; education; adoption,35
Rossi F; Bianchi L,Machine learning and higher education transformation,2022,Machine learning contributes to higher education transformation through automated analysis and decision support.,machine learning; transformation; higher education,100
Ahmed S; Patel R,Student dropout prediction using ensemble classifiers,2020,Ensemble classifiers are evaluated for predicting university dropout using multiple student variables.,ensemble classifiers; dropout prediction,160
Nakamura H; Ito K,Learning analytics for academic intervention strategies,2019,Learning analytics enables institutions to identify intervention opportunities and improve academic support.,learning analytics; intervention,200
Vargas M; Salazar C,Artificial intelligence models for educational forecasting,2024,AI models are applied to forecast student outcomes and support strategic educational decisions.,AI models; forecasting; education,55
White J; Anderson B,Machine learning based retention frameworks,2021,Retention frameworks based on machine learning provide methods for identifying vulnerable student groups.,retention; machine learning; frameworks,120
Kumar S; Verma R,Predictive modeling of student behavior using AI,2023,Predictive modeling techniques analyze student behavior patterns and estimate future academic outcomes.,predictive modeling; student behavior,75
Fernández P; Castillo J,Big data and artificial intelligence in universities,2020,The integration of big data and artificial intelligence improves institutional analytics capabilities.,big data; AI; universities,300
Young D; Stewart M,Automated analysis of educational data with machine learning,2018,Automated educational data analysis allows institutions to discover patterns and improve decision making.,automation; educational data; machine learning,250
Navarro R; Ruiz E,Explainable AI for student risk identification,2025,Explainable AI improves transparency of predictive models used to identify students at academic risk.,explainable AI; student risk,30
Miller K; Thompson J,Future trends in artificial intelligence for education,2026,The study explores future directions of artificial intelligence in education including predictive analytics and intelligent systems.,future AI; education; trends,15
